path,size_bytes,sha256,width,height,mode
assets/memoriz/categories/seriesDeteste.webp,78436,c9f8609745f38fbe1af165bbbdb4285e476966fffebd11d0c65a24e2b7a0ec70,1024,1280,RGB
assets/memoriz/categories/sportsMusique.webp,208740,6e30cef27bda0449e62608cc01ea4aa4176d37d9f2e3acf800348bfa22b82c07,1024,1280,RGB
assets/memoriz/categories/superHeros.webp,75380,7c2a0ff0787d79ef8e4207d10c746a427547feec86e14a792b3086a203628322,1024,1280,RGB
assets/memoriz/categories/trouveAnime.webp,86286,2110a9f841d4a5004a6eb09ce67b7fffa02bd16bda300b7800caffb39b3fce29,1024,1280,RGB
assets/memoriz/category-manifest.json,2539,478f39ea4e28ec9117cb487a691c9a43050937cb6ec80c3f6fe5437834d5c618,,,
assets/memoriz/effects/comment-bubble.png,2255888,4b7f2c6d3abd4ecb0ece22e297a50170edf8b08577ea74a9e9bb1001d3bbc61d,1024,1536,RGBA
assets/memoriz/effects/menu-more.png,2085751,8345f2ecc50d95c404072b2bf3921697b04625d989be491603eaf6022985abb5,1024,1536,RGBA
assets/memoriz/effects/progress-target.png,2253707,a63a7aa3e9e2add4c6fc43f4cf2f0446e50c17432265a61187f0fc0afe117619,1024,1536,RGBA
assets/memoriz/effects/reaction-heart.png,2240454,0d03067dbc460b30f1f9c3bbe4aac369595efe35a0fc83612e14f9c33de857f4,1024,1536,RGBA
assets/memoriz/gameplay/correct-answer.png,2273591,80f64f7991c6645864506789c146a49409be6a668929ec17f09f6ca5e4d74220,1024,1536,RGBA
assets/memoriz/gameplay/did-you-know.png,163172,8584289aba1b616b71e85ce09eb866d9285f405888e1c572f0142e6dd1f7b84a,1024,1024,RGBA
assets/memoriz/gameplay/no-answer.png,103862,df07e491c7a55be52b5f695ac0e18342a19757b9ccaaa1a915232543aef076ca,1024,1024,RGBA
assets/memoriz/gameplay/perfect-game.png,2256325,134e472b2baeb89a6a3ad1855f301e95897d7ec87c5929ff3a8e20dcfe30300d,1024,1536,RGBA
assets/memoriz/gameplay/protection.png,2325751,713eb0e93dc454939f3c9ed5ea307b88bb68110b9d6675fd65023f1c1c776b7e,1024,1536,RGBA
assets/memoriz/gameplay/quiz-completed.png,2233295,ea6fe39e73b2a24f3dfc065f291ec13d48c07bd9a27e514bf5c65e5f5c08b50c,1024,1536,RGBA
assets/memoriz/gameplay/speed-bonus.png,2183732,8bac9dd054bb33a2d8734d93627a930ecf1268772638da1a17875928d9fc458c,1024,1536,RGBA
assets/memoriz/gameplay/streak.png,2114071,b9ed9a080a833f3614709337578994586232e63e4527aade03b55113fe03f3de,1024,1536,RGBA
assets/memoriz/gameplay/trophy.png,2289946,fe6e0e0b3e70fc13dd16406ba22fc12c96c1f113a7e71c5cbb59c6232c3cfbe0,1024,1536,RGBA
assets/memoriz/gameplay/wrong-answer.png,1539950,41926a2646031ec4a6bff8f3dd22ed8ade002178e8e213f453d8619e7b2adb90,1024,1024,RGBA
assets/memoriz/intro/mobile/01-inactive-1080x1920.webp,78584,af3a5ff57af749c39bf2fb1f61a0bda0b4063ae1651c17117c4cf62c99ee22f3,1080,1920,RGB
assets/memoriz/intro/mobile/02-first-mark-1080x1920.webp,155436,7723ab48bdf366f7951611f4f949bdc356c5c9475abbe8bad3d07dbe0405de29,1080,1920,RGB
